InvoiceNo,Description,UnitPrice,CustomerID,Country,Category,
536365,WHITE HANGING HEART T-LIGHT HOLDER,56250,17850,United Kingdom,Cafe,
536365,WHITE METAL LANTERN,8250,17850,United Kingdom,Cafe,
536365,CREAM CUPID HEARTS COAT HANGER,89250,17850,United Kingdom,Baju,
536365,KNITTED UNION FLAG HOT WATER BOTTLE,127500,17850,United Kingdom,Travel,
536365,RED WOOLLY HOTTIE WHITE HEART.,127500,17850,United Kingdom,Travel,
536365,SET 7 BABUSHKA NESTING BOXES,127500,17850,United Kingdom,Travel,
536365,GLASS STAR FROSTED T-LIGHT HOLDER,18750,17850,United Kingdom,Cafe,
536366,HAND WARMER UNION JACK,38250,17850,United Kingdom,Travel,
536366,HAND WARMER RED POLKA DOT,156000,17850,United Kingdom,Travel,
536367,ASSORTED COLOUR BIRD ORNAMENT,56250,13047,United Kingdom,Cafe,
536367,POPPY'S PLAYHOUSE BEDROOM ,8250,13047,United Kingdom,Hobi,
536367,POPPY'S PLAYHOUSE KITCHEN,89250,13047,United Kingdom,Hobi,
536367,FELTCRAFT PRINCESS CHARLOTTE DOLL,127500,13047,United Kingdom,Hobi,
536367,IVORY KNITTED MUG COSY ,127500,13047,United Kingdom,Cafe,
536367,BOX OF 6 ASSORTED COLOUR TEASPOONS,127500,13047,United Kingdom,Dapur,
536367,BOX OF VINTAGE JIGSAW BLOCKS ,18750,13047,United Kingdom,Hobi,
536367,BOX OF VINTAGE ALPHABET BLOCKS,38250,13047,United Kingdom,Hobi,
536367,HOME BUILDING BLOCK WORD,156000,13047,United Kingdom,Hobi,
536367,LOVE BUILDING BLOCK WORD,56250,13047,United Kingdom,Hobi,
536367,RECIPE BOX WITH METAL HEART,8250,13047,United Kingdom,Hobi,
536367,DOORMAT NEW ENGLAND,89250,13047,United Kingdom,Dapur,
536368,JAM MAKING SET WITH JARS,127500,13047,United Kingdom,Dapur,
536368,RED COAT RACK PARIS FASHION,127500,13047,United Kingdom,Dapur,
536368,YELLOW COAT RACK PARIS FASHION,127500,13047,United Kingdom,Dapur,
536368,BLUE COAT RACK PARIS FASHION,18750,13047,United Kingdom,Dapur,
536369,BATH BUILDING BLOCK WORD,38250,13047,United Kingdom,Hobi,
536370,ALARM CLOCK BAKELIKE PINK,156000,12583,France,Elektronik,
536370,ALARM CLOCK BAKELIKE RED ,56250,12583,France,Elektronik,
536370,ALARM CLOCK BAKELIKE GREEN,8250,12583,France,Elektronik,
536370,PANDA AND BUNNIES STICKER SHEET,89250,12583,France,Hobi,
536370,STARS GIFT TAPE ,127500,12583,France,Hobi,
536370,INFLATABLE POLITICAL GLOBE ,127500,12583,France,Hobi,
536370,VINTAGE HEADS AND TAILS CARD GAME ,127500,12583,France,Hobi,
536370,SET/2 RED RETROSPOT TEA TOWELS ,18750,12583,France,Dapur,
536370,ROUND SNACK BOXES SET OF4 WOODLAND ,38250,12583,France,Cafe,
536370,SPACEBOY LUNCH BOX ,156000,12583,France,Dapur,
536370,LUNCH BOX I LOVE LONDON,56250,12583,France,Dapur,
536370,CIRCUS PARADE LUNCH BOX ,8250,12583,France,Dapur,
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,89250,12583,France,Hobi,
536370,RED TOADSTOOL LED NIGHT LIGHT,127500,12583,France,Elektronik,
536370, SET 2 TEA TOWELS I LOVE LONDON ,127500,12583,France,Dapur,
536370,VINTAGE SEASIDE JIGSAW PUZZLES,127500,12583,France,Hobi,
536370,MINI JIGSAW CIRCUS PARADE ,18750,12583,France,Hobi,
536370,MINI JIGSAW SPACEBOY,38250,12583,France,Hobi,
536370,MINI PAINT SET VINTAGE ,156000,12583,France,Hobi,
536370,POSTAGE,56250,12583,France,Travel,
536371,PAPER CHAIN KIT 50'S CHRISTMAS ,8250,13748,United Kingdom,Travel,
536372,HAND WARMER RED POLKA DOT,89250,17850,United Kingdom,Travel,
536372,HAND WARMER UNION JACK,127500,17850,United Kingdom,Travel,
536373,WHITE HANGING HEART T-LIGHT HOLDER,127500,17850,United Kingdom,Travel,
536373,WHITE METAL LANTERN,127500,17850,United Kingdom,Elektronik,
536373,CREAM CUPID HEARTS COAT HANGER,18750,17850,United Kingdom,Baju,
536373,EDWARDIAN PARASOL RED,38250,17850,United Kingdom,Travel,
536373,RETRO COFFEE MUGS ASSORTED,156000,17850,United Kingdom,Cafe,
536373,SAVE THE PLANET MUG,127500,17850,United Kingdom,Dapur,
536373,VINTAGE BILLBOARD DRINK ME MUG,74250,17850,United Kingdom,Cafe,
536373,VINTAGE BILLBOARD LOVE/HATE MUG,1875000,17850,United Kingdom,Cafe,
536373,WOOD 2 DRAWER CABINET WHITE FINISH,89250,17850,United Kingdom,Hobi,
536373,WOOD S/3 CABINET ANT WHITE FINISH,43350,17850,United Kingdom,Hobi,
536373,WOODEN PICTURE FRAME WHITE FINISH,18750,17850,United Kingdom,Hobi,
536373,WOODEN FRAME ANTIQUE WHITE ,156000,17850,United Kingdom,Hobi,
536373,KNITTED UNION FLAG HOT WATER BOTTLE,122250,17850,United Kingdom,Travel,
536373,RED WOOLLY HOTTIE WHITE HEART.,122250,17850,United Kingdom,Travel,
536373,SET 7 BABUSHKA NESTING BOXES,122250,17850,United Kingdom,Travel,
536373,GLASS STAR FROSTED T-LIGHT HOLDER,127500,17850,United Kingdom,Cafe,
