ProductID,Description,Country,Category,UnitPrice,CustomerID
23183,MOTHER'S KITCHEN SPOON REST,United Kingdom,Dapur,56250,15856
82578,KITCHEN METAL SIGN,United Kingdom,Dapur,8250,17841
47567,TEA TIME KITCHEN APRON,Portugal,Dapur,89250,12794
22624,IVORY KITCHEN SCALES,United Kingdom,Dapur,127500,13772
22625,RED KITCHEN SCALES,United Kingdom,Dapur,127500,17050
22627,MINT KITCHEN SCALES,United Kingdom,Dapur,127500,15365
22675,FRENCH KITCHEN SIGN BLUE METAL,United Kingdom,Dapur,18750,16255
21279,VINTAGE KITCHEN PRINT FRUITS,United Kingdom,Dapur,38250,15974
23142,IVORY WIRE KITCHEN ORGANISER,United Kingdom,Dapur,156000,16418
22626,BLACK KITCHEN SCALES,Netherlands,Dapur,127500,14646
23180,MUM'S KITCHEN CLOCK,United Kingdom,Dapur,74250,13614
22655,VINTAGE RED KITCHEN CABINET,United Kingdom,Dapur,1875000,17603
84637,KITCHEN FLOWER POTS WALL PLAQUE,EIRE,Dapur,89250,14911
23179,CLOCK MAGNET MUM'S KITCHEN,Germany,Dapur,43350,12477
23496,PANTRY KITCHEN THERMOMETER,United Kingdom,Dapur,18750,13268
23143,ZINC WIRE KITCHEN ORGANISER,United Kingdom,Dapur,156000,16255
23428,IVORY RETRO KITCHEN WALL CLOCK,United Kingdom,Dapur,122250,17461
23430,BLUE RETRO KITCHEN WALL CLOCK,EIRE,Dapur,122250,14911
23431,PURPLE RETRO KITCHEN WALL CLOCK,EIRE,Dapur,122250,14911
84638,SMALL KITCHEN FLOWER POTS PLAQUE,Spain,Dapur,104250,12539
37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,Cafe,15900,17850
21662,VINTAGE GLASS COFFEE CADDY,United Kingdom,Cafe,89250,17905
21398,RED POLKADOT COFFEE MUG,United Kingdom,Cafe,31500,14606
22301,COFFEE MUG CAT + BIRD DESIGN,United Kingdom,Cafe,38250,14901
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",United Kingdom,Cafe,74250,16244
85159,"BLACK TEA,COFFEE,SUGAR JARS",United Kingdom,Cafe,95250,14180
21399,BLUE POLKADOT COFFEE MUG,United Kingdom,Cafe,31500,15574
35810,ENAMEL BLUE RIM COFFEE CONTAINER,United Kingdom,Cafe,31500,16033
22300,COFFEE MUG DOG + BALL DESIGN,United Kingdom,Cafe,38250,16931
20748,KENSINGTON COFFEE SET,United Kingdom,Cafe,191250,16402
22971,QUEENS GUARD COFFEE MUG,United Kingdom,Cafe,38250,16705
85199,"WHITE TEA,COFFEE,SUGAR JARS",United Kingdom,Cafe,18750,15789
22303,COFFEE MUG APPLES DESIGN,France,Cafe,38250,12681
22302,COFFEE MUG PEARS DESIGN,France,Cafe,38250,12681
22305,COFFEE MUG PINK PAISLEY DESIGN,EIRE,Cafe,31500,14156
35819,ENAMEL PINK COFFEE CONTAINER,United Kingdom,Cafe,12450,15491
23413,VINTAGE COFFEE GRINDER BOX,United Kingdom,Cafe,74250,15745
23414,DECROTIVEVINTAGE COFFEE GRINDER BOX,EIRE,Cafe,74250,14911
22315,200 RED + WHITE BENDY STRAWS,United Kingdom,Cafe,18750,13571
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,United Kingdom,Cafe,63750,13047
22492,MINI PAINT SET VINTAGE,France,Hobi,9750,12583
22493,PAINT YOUR OWN CANVAS SET,EIRE,Hobi,24750,14911
22418,10 COLOUR SPACEBOY PEN,United Kingdom,Hobi,12750,14307
22491,PACK OF 12 COLOURED PENCILS,United Kingdom,Hobi,12750,13108
22413,"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",United Kingdom,Hobi,240000,14537
22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,Norway,Hobi,44250,12433
22618,COOKING SET RETROSPOT,United Kingdom,Hobi,149250,14047
23671,Tower of God - Part 2,United Kingdom,Hobi,285000,13078
26589,Classroom of the Elite (Light Novel),United Kingdom,Hobi,189000,14156
23326,Classroom of the Elite: Year 2 (Light Novel),United Kingdom,Hobi,225000,14325
22987,Violet Evergarden (Light Novel),United Kingdom,Hobi,550000,14451
21463,MIRRORED DISCO BALL,United Kingdom,Hobi,89250,14390
22607,WOODEN ROUNDERS GARDEN SET,United Kingdom,Hobi,149250,15525
22477,WATERING CAN GARDEN MARKER,United Kingdom,Hobi,18750,14388
22926,IVORY GIANT GARDEN THERMOMETER,United Kingdom,Hobi,89250,14901
