ProductID,Description,Country,Category
23183,MOTHER'S KITCHEN SPOON REST,United Kingdom,Dapur
82578,KITCHEN METAL SIGN,United Kingdom,Dapur
47567,TEA TIME KITCHEN APRON,Portugal,Dapur
22624,IVORY KITCHEN SCALES,United Kingdom,Dapur
22625,RED KITCHEN SCALES,United Kingdom,Dapur
22627,MINT KITCHEN SCALES,United Kingdom,Dapur
22675,FRENCH KITCHEN SIGN BLUE METAL,United Kingdom,Dapur
21279,VINTAGE KITCHEN PRINT FRUITS,United Kingdom,Dapur
23142,IVORY WIRE KITCHEN ORGANISER,United Kingdom,Dapur
22626,BLACK KITCHEN SCALES,Netherlands,Dapur
23180,MUM'S KITCHEN CLOCK,United Kingdom,Dapur
22655,VINTAGE RED KITCHEN CABINET,United Kingdom,Dapur
84637,KITCHEN FLOWER POTS WALL PLAQUE,EIRE,Dapur
23179,CLOCK MAGNET MUM'S KITCHEN,Germany,Dapur
23496,PANTRY KITCHEN THERMOMETER,United Kingdom,Dapur
23143,ZINC WIRE KITCHEN ORGANISER,United Kingdom,Dapur
23428,IVORY RETRO KITCHEN WALL CLOCK,United Kingdom,Dapur
23430,BLUE RETRO KITCHEN WALL CLOCK,EIRE,Dapur
23431,PURPLE RETRO KITCHEN WALL CLOCK,EIRE,Dapur
84638,SMALL KITCHEN FLOWER POTS PLAQUE,Spain,Dapur
37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,Cafe
21662,VINTAGE GLASS COFFEE CADDY,United Kingdom,Cafe
21398,RED POLKADOT COFFEE MUG,United Kingdom,Cafe
22301,COFFEE MUG CAT + BIRD DESIGN,United Kingdom,Cafe
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",United Kingdom,Cafe
85159,"BLACK TEA,COFFEE,SUGAR JARS",United Kingdom,Cafe
21399,BLUE POLKADOT COFFEE MUG,United Kingdom,Cafe
35810,ENAMEL BLUE RIM COFFEE CONTAINER,United Kingdom,Cafe
22300,COFFEE MUG DOG + BALL DESIGN,United Kingdom,Cafe
20748,KENSINGTON COFFEE SET,United Kingdom,Cafe
22971,QUEENS GUARD COFFEE MUG,United Kingdom,Cafe
85199,"WHITE TEA,COFFEE,SUGAR JARS",United Kingdom,Cafe
22303,COFFEE MUG APPLES DESIGN,France,Cafe
22302,COFFEE MUG PEARS DESIGN,France,Cafe
